edge_id,length
:164957023_1,18.12
:164957023_2,18.45
:164957028_0,8.65
:164957028_1,8.64
:164976541_0,9.46
:164976541_1,16.20
:164976541_2,2.34
:164976541_9,2.34
:164976541_3,16.46
:164976541_4,6.01
:164976541_5,2.34
:164976541_10,10.68
:164976541_11,2.34
:164976541_6,13.58
:164976541_7,18.04
:164976541_8,4.67
:164976543_0,9.23
:164976543_1,15.35
:164976543_2,2.34
:164976543_9,2.34
:164976543_3,15.27
:164976543_4,5.35
:164976543_5,2.34
:164976543_10,10.33
:164976543_11,2.34
:164976543_6,12.40
:164976543_7,16.77
:164976543_8,4.67
:164976545_0,15.39
:164976545_1,5.85
:164976545_2,2.82
:164976545_9,9.98
:164976545_10,2.39
:164976545_3,12.27
:164976545_4,16.73
:164976545_5,2.55
:164976545_11,2.13
:164976545_6,9.23
:164976545_7,15.35
:164976545_8,2.34
:164976545_12,2.34
:164976549_0,9.24
:164976549_1,16.09
:164976549_2,8.12
:164976549_3,2.34
:164976549_16,11.34
:164976549_17,2.34
:164976549_4,16.08
:164976549_5,19.56
:164976549_6,17.41
:164976549_7,4.67
:164976549_8,9.96
:164976549_9,19.74
:164976549_10,10.57
:164976549_11,10.92
:164976549_18,9.21
:164976549_19,7.59
:164976549_12,11.75
:164976549_13,19.57
:164976549_14,13.84
:164976549_15,4.67
:164976550_0,9.21
:164976550_1,18.98
:164976550_2,8.00
:164976550_3,2.34
:164976550_16,10.38
:164976550_17,2.34
:164976550_4,15.22
:164976550_5,18.85
:164976550_6,6.47
:164976550_7,2.34
:164976550_18,10.33
:164976550_19,2.34
:164976550_8,9.24
:164976550_9,18.79
:164976550_10,7.30
:164976550_11,2.34
:164976550_20,11.28
:164976550_21,2.34
:164976550_12,15.63
:164976550_13,18.93
:164976550_14,6.68
:164976550_15,2.34
:164976550_22,9.91
:164976550_23,2.34
:164976551_0,9.21
:164976551_1,18.92
:164976551_2,7.72
:164976551_3,2.34
:164976551_16,10.77
:164976551_17,2.34
:164976551_4,15.43
:164976551_5,18.92
:164976551_6,6.70
:164976551_7,2.34
:164976551_18,10.11
:164976551_19,2.34
:164976551_8,9.24
:164976551_9,18.87
:164976551_10,7.57
:164976551_11,2.34
:164976551_20,10.92
:164976551_21,2.34
:164976551_12,15.43
:164976551_13,18.87
:164976551_14,6.19
:164976551_15,2.34
:164976551_22,10.40
:164976551_23,2.34
:164976552_0,26.04
:164976552_1,35.02
:164976552_2,20.76
:164976552_3,17.95
:164976552_4,2.34
:164976552_25,2.34
:164976552_5,9.62
:164976552_6,34.17
:164976552_7,18.51
:164976552_8,16.80
:164976552_9,3.38
:164976552_26,19.71
:164976552_27,4.12
:164976552_28,1.76
:164976552_10,14.70
:164976552_11,15.77
:164976552_12,24.36
:164976552_13,27.44
:164976552_14,2.88
:164976552_29,1.80
:164976552_15,20.65
:164976552_16,35.29
:164976552_17,34.84
:164976552_18,3.93
:164976552_19,1.99
:164976552_30,15.44
:164976552_31,2.68
:164976552_20,9.24
:164976552_21,17.37
:164976552_22,32.13
:164976552_23,29.16
:164976552_24,2.34
:164976552_32,2.34
:164976553_0,9.19
:164976553_1,22.03
:164976553_3,7.55
:164976553_4,2.34
:164976553_18,15.91
:164976553_19,2.34
:164976553_5,18.42
:164976553_6,25.98
:164976553_7,20.48
:164976553_8,4.67
:164976553_9,9.23
:164976553_10,22.09
:164976553_12,7.83
:164976553_13,2.34
:164976553_20,15.55
:164976553_21,2.34
:164976553_14,18.06
:164976553_15,25.81
:164976553_16,20.08
:164976553_17,4.67
:164976554_0,15.22
:164976554_2,4.12
:164976554_3,2.34
:164976554_11,13.42
:164976554_12,2.34
:164976554_4,12.04
:164976554_5,20.20
:164976554_6,4.67
:164976554_7,9.20
:164976554_8,15.22
:164976554_10,2.34
:164976554_13,2.34
:164976556_0,14.36
:164976556_1,2.57
:164976556_6,2.10
:164976556_2,11.66
:164976556_3,14.32
:164976556_4,14.48
:164976556_5,1.80
:164976556_7,2.87
:164976557_0,9.55
:164976557_1,14.64
:164976557_2,5.98
:164976557_3,2.34
:164976557_16,8.46
:164976557_17,2.34
:164976557_4,9.59
:164976557_5,15.31
:164976557_6,6.42
:164976557_7,2.34
:164976557_18,8.27
:164976557_19,2.34
:164976557_8,9.05
:164976557_9,14.50
:164976557_10,5.85
:164976557_11,2.34
:164976557_20,8.76
:164976557_21,2.34
:164976557_12,9.20
:164976557_13,14.70
:164976557_14,5.77
