edge_id,length
:-11478_5,17.22
:-11478_7,5.49
:-11478_8,9.54
:-11482_0,5.36
:-11482_1,10.39
:-11482_2,5.02
:-11482_3,9.21
:-11482_4,8.50
:-11482_5,4.73
:-11482_6,5.12
:-11514_0,5.03
:-11514_1,12.48
:-11514_2,5.26
:-11514_3,9.05
:-11514_5,8.10
:-11514_7,4.19
:-11514_8,9.06
:-11534_0,5.11
:-11534_1,8.56
:-11534_2,4.73
:-11548_0,8.89
:-11548_3,7.34
:-11548_5,13.51
:-11552_0,8.94
:-11552_1,18.78
:-11552_5,6.04
:-11552_18,16.01
:-11552_6,5.08
:-11552_7,30.51
:-11552_8,12.10
:-11552_19,10.24
:-11552_9,5.74
:-11552_10,17.42
:-11552_14,5.37
:-11552_20,16.94
:-11552_15,5.10
:-11552_16,30.11
:-11552_17,9.03
:-11552_21,13.94
:-11556_0,0.10
:-11586_0,5.34
:-11586_1,4.88
:-11586_2,6.85
:-11602_0,5.00
:-11602_1,9.46
:-11602_2,9.38
:-11602_3,5.11
:-11602_6,5.16
:-11602_4,5.04
:-11602_5,10.33
:-11616_0,5.03
:-11616_1,10.20
:-11616_2,4.97
:-11616_3,9.35
:-11616_4,9.05
:-11616_5,4.89
:-11616_6,5.21
:-11618_0,5.02
:-11618_1,9.54
:-11618_2,9.63
:-11618_3,5.37
:-11618_6,5.02
:-11618_4,5.02
:-11618_5,10.39
:-11622_0,4.98
:-11622_1,9.32
:-11622_4,8.96
:-11622_7,3.89
:-11622_11,11.95
:-11622_8,5.00
:-11622_9,17.39
:-11632_0,29.04
:-11632_1,32.93
:-11632_4,11.18
:-11632_16,21.74
:-11632_5,6.24
:-11632_6,36.54
:-11632_7,18.94
:-11632_17,13.61
:-11632_8,23.71
:-11632_9,33.06
:-11632_12,6.71
:-11632_18,15.11
:-11632_13,5.87
:-11632_14,37.31
:-11632_15,13.32
:-11632_19,21.93
:-11660_0,9.68
:-11660_1,10.45
:-11660_2,5.03
:-11660_3,3.12
:-11660_4,5.97
:-11702_0,8.91
:-11702_1,4.88
:-11702_6,6.24
:-11702_2,5.19
:-11702_3,10.11
:-11702_4,5.90
:-11702_5,9.40
:-11714_0,5.01
:-11714_1,6.25
:-11714_3,6.36
:-11714_5,2.77
:-11714_6,8.15
:-11718_0,9.47
:-11718_1,4.98
:-11718_6,5.36
:-11718_2,5.43
:-11718_3,10.82
:-11718_4,5.12
:-11718_5,9.51
:-1172_0,8.76
:-1172_1,5.44
:-1172_6,6.35
:-1172_2,5.35
:-1172_3,10.13
:-1172_4,6.59
:-1172_5,9.55
:-11722_0,17.83
:-11722_2,3.92
:-11722_8,13.69
:-11722_3,10.35
:-11722_4,21.03
:-11722_5,6.55
:-11722_6,13.96
:-11730_0,5.60
:-11730_1,7.01
:-11730_2,6.96
:-11730_3,2.50
:-11730_4,3.81
:-11754_0,8.92
:-11754_1,12.41
:-11754_3,5.02
:-11754_14,8.66
:-11754_4,5.10
:-11754_5,17.97
:-11754_6,8.18
:-11754_15,6.72
